1,,,あっ,,"Ah!,Oh!"
2,,愛,あい,,love
3,,挨拶,あいさつ,,"greeting,salutation"
4,,愛情,あいじょう,,"love,affection"
5,,合図,あいず,,"sign,signal"
6,,,アイスクリーム,,ice cream
7,,愛する,あいする,,to love
8,,相手,あいて,,"companion,partner,company"
9,,,あいにく,,"unfortunately,Sorry, but...."
10,,,アイロン,,(electric) iron
11,,,アウト,,out
12,,明かり,あかり,,"lamplight,light (in general),brightness"
13,,空き,あき,,"room,time to spare,emptiness"
14,,明らか,あきらか,,"obvious,evident,clear"
15,,諦める,あきらめる,,"to give up,to abandon"
16,,飽きる,あきる,,"to get tired of,to lose interest in,to have enough"
17,,握手,あくしゅ,,handshake
18,,悪魔,あくま,,"devil,demon,evil spirit"
19,,明ける,あける,,"to dawn,to become daylight"
20,,,あした,,tomorrow
21,,預ける,あずける,,"to give into custody,to entrust,to deposit"
22,,汗,あせ,,"sweat,perspiration"
23,,与える,あたえる,,"to give,to present,to award"
24,,暖かい,あたたか(い),,"warm,mild"
25,,辺り,あたり,,"vicinity,nearby"
26,,当たる,あたる,,"to be hit,to be successful,to be equivalent to"
27,,,あちこち,,here and there
28,,扱う,あつかう,,"to handle,to deal with,to treat"
29,,集まり,あつまり,,"gathering,meeting,assembly,collection"
30,,当てる,あてる,,"to hit,to apply a patch"
31,,跡,あと,,"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
32,,,あと,,"(1) trace,tracks,(2) remains,ruins,(3) scar"
33,,穴,あな,,hole
34,,浴びる,あびる,,"to bathe,to bask in the sun,to shower"
35,,油,あぶら,,oil
36,,余り,あまり,,"not very (used as adverb),not much"
37,,誤り,あやまり,,error
38,,粗,あら,,"defect,flaw,blemish,weak point"
39,,嵐,あらし,,"storm,tempest"
40,,新た,あらた,,"new,fresh,novel"
41,,,あらゆる,,"all,every"
42,,表す,あらわす,,"to express,to show,to reveal"
43,,現す,あらわす,,"to show,to indicate,to display"
44,,現れ,あらわれ,,"embodiment,materialization"
45,,現れる,あらわれる,,"(1) to appear,to come in sight,to become visible,(2) to express oneself"
46,,,ありがとう,,"(conj,exp,int) Thank you"
47,,有る,ある,,"to be,to have"
48,,或,ある,,"a certain...,some..."
49,,,あるいは,,"or,possibly"
50,,,アルバム,,album
51,,泡,あわ,,"bubble,foam,froth,head on beer"
52,,合わせる,あわせる,,"to join together,to be opposite,to face,to unite"
53,,哀れ,あわれ,,"helpless,pity,sorrow,grief"
54,,案,あん,,"plan,suffix meaning draft"
55,,暗記,あんき,,"memorization,learning by heart"
56,,安定,あんてい,,"stability,equilibrium"
57,,案内,あんない,,"information,guidance,leading"
58,,,あんなに,,"to that extent,to that degree"
59,,,あんまり,,"not very,not much,remainder,rest"
60,,胃,い,,stomach
61,,,いい,,good
62,,,よい,,"good,nice,pleasant,ok"
63,,いえ,いえ,,TODO same as いいえ?
64,,委員,いいん,,committee member
65,,言う,ゆう,,to say
66,,意外,いがい,,"unexpected,surprising"
67,,行き,いき,,going
68,,行き,ゆき,,going
69,,息,いき,,"breath,tone"
70,,勢い,いきおい,,"force,vigor,energy,spirit"
71,,生き物,いきもの,,"living thing,animal"
72,,幾つ,いくつ,,"how many?,how old?"
73,,幾ら,いくら,,"how much?,how many?"
74,,,いけない,,"must not do,bad,wrong,not good"
75,,医師,いし,,"doctor,physician"
76,,意思,いし,,"intention,purpose"
77,,意志,いし,,"will,volition"
78,,維持,いじ,,"maintenance,preservation"
79,,意識,いしき,,"consciousness,senses"
80,,異常,いじょう,,"strangeness,abnormality,disorder"
81,,椅子,いす,,chair
82,,泉,いずみ,,"spring,fountain"
83,,,いずれ,,"where,which,who"
84,,以前,いぜん,,"ago,since,before,previous"
85,,板,いた,,"board,plank"
86,,偉大,いだい,,greatness
87,,抱く,いだく,,"(sl) to embrace,to hug,to harbour,to entertain"
88,,,いたずら,,"tease,prank,trick,practical joke"
89,,,いただきます,,expression of gratitude before meals
90,,頂く,いただく,,"to receive,to take food or drink (hum)"
91,,痛み,いたみ,,"pain,ache,sore,grief,distress"
92,,至る,いたる,,"to come,to arrive"
93,,,いち,,"market,fair"
94,,位置,いち,,"place,situation,position,location"
95,,一時,いちじ,,"moment,time"
96,,一度に,いちどに,,all at once
97,,市場,いちば,,(the) market (as a concept)
98,,一番,いちばん,,"best,first,number one"
99,,,いつか,,"sometime,someday,one day"
100,,一家,いっか,,"a house,a home,a family,a household"
101,,一種,いっしゅ,,"a species,a kind,a variety"
102,,一瞬,いっしゅん,,"a moment,an instant"
103,,一生,いっしょう,,"whole life,a lifetime,all through life"
104,,一層,いっそう,,"much more,still more,all the more"
105,,一体,いったい,,"(1) one object,one body,(2) what on earth?,really?,(3) generally"
106,,一致,いっち,,"(1) coincidence,agreement,(2) conformity"
107,,,いつでも,,"(at) any time,always,at all times,never (neg)"
